0,1,2
11.2207,9.12464,1.0
11.4207,9.12464,1.0
11.6207,9.12464,1.0
11.8207,9.12464,1.0
12.0207,9.12464,1.0
12.2207,9.12464,1.0
12.4207,9.12464,1.0
12.6207,9.12464,1.0
12.8207,9.12464,1.0
13.0207,9.12464,1.0
13.2207,9.12464,1.0
13.4207,9.12464,1.0
13.6207,9.12464,1.0
13.8207,9.12464,1.0
14.0207,9.12464,1.0
14.2207,9.12464,1.0
14.4207,9.12464,1.0
14.6207,9.12464,1.0
14.8207,9.12464,1.0
15.0207,9.12464,1.0
15.2207,9.12464,1.0
15.4207,9.12464,1.0
15.6207,9.12464,1.0
15.8207,9.12464,1.0
16.0207,9.12464,1.0
16.2207,9.12464,1.0
16.4207,9.12464,1.0
16.6207,9.12464,1.0
16.8207,9.12464,1.0
17.0207,9.12464,1.0
17.2207,9.12464,1.0
17.4207,9.12464,1.0
17.6207,9.12464,1.0
17.8207,9.12464,1.0
18.0207,9.12464,1.0
18.2207,9.12464,1.0
18.4207,9.12464,1.0
18.6207,9.12464,1.0
18.8207,9.12464,1.0
19.0207,9.12464,1.0
-14.9793,9.32464,1.0
-14.7793,9.32464,1.0
-14.5793,9.32464,1.0
-14.3793,9.32464,1.0
-14.1793,9.32464,1.0
-13.9793,9.32464,1.0
-13.7793,9.32464,1.0
-13.5793,9.32464,1.0
-13.3793,9.32464,1.0
-13.1793,9.32464,1.0
-12.9793,9.32464,1.0
-12.7793,9.32464,1.0
-12.5793,9.32464,1.0
-12.3793,9.32464,1.0
-12.1793,9.32464,1.0
-11.9793,9.32464,1.0
-11.7793,9.32464,1.0
-11.5793,9.32464,1.0
-11.3793,9.32464,1.0
-11.1793,9.32464,1.0
-10.9793,9.32464,1.0
-10.7793,9.32464,1.0
-10.5793,9.32464,1.0
-10.3793,9.32464,1.0
-10.1793,9.32464,1.0
-9.97933,9.32464,1.0
-9.77933,9.32464,1.0
-9.57933,9.32464,1.0
-9.37933,9.32464,1.0
-9.17933,9.32464,1.0
-8.97933,9.32464,1.0
-8.77933,9.32464,1.0
-8.57933,9.32464,1.0
-8.37933,9.32464,1.0
-8.17933,9.32464,1.0
-7.97933,9.32464,1.0
-7.77933,9.32464,1.0
-7.57933,9.32464,1.0
-7.37933,9.32464,1.0
-7.17933,9.32464,1.0
-6.97933,9.32464,1.0
-6.77933,9.32464,1.0
-6.57933,9.32464,1.0
-6.37933,9.32464,1.0
-6.17933,9.32464,1.0
-5.97933,9.32464,1.0
-5.77933,9.32464,1.0
-5.57933,9.32464,1.0
-5.37933,9.32464,1.0
-5.17933,9.32464,1.0
-4.97933,9.32464,1.0
-4.77933,9.32464,1.0
-4.57933,9.32464,1.0
-4.37933,9.32464,1.0
-4.17933,9.32464,1.0
-3.97933,9.32464,1.0
-3.77933,9.32464,1.0
-3.57933,9.32464,1.0
-3.37933,9.32464,1.0
-3.17933,9.32464,1.0
-2.97933,9.32464,1.0
-2.77933,9.32464,1.0
-2.57933,9.32464,1.0
-2.37933,9.32464,1.0
-2.17933,9.32464,1.0
-1.97933,9.32464,1.0
-1.77933,9.32464,1.0
-1.57933,9.32464,1.0
-1.37933,9.32464,1.0
-1.17933,9.32464,1.0
-0.979333,9.32464,1.0
-0.779333,9.32464,1.0
-0.579333,9.32464,1.0
-0.379333,9.32464,1.0
-0.179333,9.32464,1.0
0.020667,9.32464,1.0
0.220667,9.32464,1.0
0.420667,9.32464,1.0
0.620667,9.32464,1.0
0.820667,9.32464,1.0
1.02067,9.32464,1.0
1.22067,9.32464,1.0
1.42067,9.32464,1.0
1.62067,9.32464,1.0
1.82067,9.32464,1.0
2.02067,9.32464,1.0
2.22067,9.32464,1.0
2.42067,9.32464,1.0
2.62067,9.32464,1.0
2.82067,9.32464,1.0
3.02067,9.32464,1.0
3.22067,9.32464,1.0
3.42067,9.32464,1.0
3.62067,9.32464,1.0
3.82067,9.32464,1.0
4.02067,9.32464,1.0
4.22067,9.32464,1.0
4.42067,9.32464,1.0
4.62067,9.32464,1.0
4.82067,9.32464,1.0
5.02067,9.32464,1.0
5.22067,9.32464,1.0
5.42067,9.32464,1.0
5.62067,9.32464,1.0
5.82067,9.32464,1.0
6.02067,9.32464,1.0
6.22067,9.32464,1.0
6.42067,9.32464,1.0
6.62067,9.32464,1.0
6.82067,9.32464,1.0
7.02067,9.32464,1.0
7.22067,9.32464,1.0
7.42067,9.32464,1.0
7.62067,9.32464,1.0
7.82067,9.32464,1.0
8.02067,9.32464,1.0
8.22067,9.32464,1.0
8.42067,9.32464,1.0
8.62067,9.32464,1.0
8.82067,9.32464,1.0
9.02067,9.32464,1.0
9.22067,9.32464,1.0
9.42067,9.32464,1.0
9.62067,9.32464,1.0
9.82067,9.32464,1.0
10.0207,9.32464,1.0
10.2207,9.32464,1.0
10.4207,9.32464,1.0
10.6207,9.32464,1.0
10.8207,9.32464,1.0
11.0207,9.32464,1.0
11.2207,9.32464,1.0
11.4207,9.32464,1.0
11.6207,9.32464,1.0
11.8207,9.32464,1.0
12.0207,9.32464,1.0
12.2207,9.32464,1.0
12.4207,9.32464,1.0
12.6207,9.32464,1.0
12.8207,9.32464,1.0
13.0207,9.32464,1.0
13.2207,9.32464,1.0
13.4207,9.32464,1.0
13.6207,9.32464,1.0
13.8207,9.32464,1.0
14.0207,9.32464,1.0
14.2207,9.32464,1.0
14.4207,9.32464,1.0
14.6207,9.32464,1.0
14.8207,9.32464,1.0
15.0207,9.32464,1.0
15.2207,9.32464,1.0
15.4207,9.32464,1.0
15.6207,9.32464,1.0
15.8207,9.32464,1.0
16.0207,9.32464,1.0
16.2207,9.32464,1.0
16.4207,9.32464,1.0
16.6207,9.32464,1.0
16.8207,9.32464,1.0
17.0207,9.32464,1.0
17.2207,9.32464,1.0
17.4207,9.32464,1.0
17.6207,9.32464,1.0
17.8207,9.32464,1.0
18.0207,9.32464,1.0
18.2207,9.32464,1.0
18.4207,9.32464,1.0
18.6207,9.32464,1.0
18.8207,9.32464,1.0
19.0207,9.32464,1.0
-14.9793,9.52464,1.0
-14.7793,9.52464,1.0
-14.5793,9.52464,1.0
-14.3793,9.52464,1.0
-14.1793,9.52464,1.0
-13.9793,9.52464,1.0
-13.7793,9.52464,1.0
-13.5793,9.52464,1.0
-13.3793,9.52464,1.0
-13.1793,9.52464,1.0
-12.9793,9.52464,1.0
-12.7793,9.52464,1.0
-12.5793,9.52464,1.0
-12.3793,9.52464,1.0
-12.1793,9.52464,1.0
-11.9793,9.52464,1.0
-11.7793,9.52464,1.0
-11.5793,9.52464,1.0
-11.3793,9.52464,1.0
-11.1793,9.52464,1.0
-10.9793,9.52464,1.0
-10.7793,9.52464,1.0
-10.5793,9.52464,1.0
-10.3793,9.52464,1.0
-10.1793,9.52464,1.0
-9.97933,9.52464,1.0
-9.77933,9.52464,1.0
-9.57933,9.52464,1.0
-9.37933,9.52464,1.0
-9.17933,9.52464,1.0
-8.97933,9.52464,1.0
-8.77933,9.52464,1.0
-8.57933,9.52464,1.0
-8.37933,9.52464,1.0
-8.17933,9.52464,1.0
-7.97933,9.52464,1.0
-7.77933,9.52464,1.0
-7.57933,9.52464,1.0
-7.37933,9.52464,1.0
-7.17933,9.52464,1.0
-6.97933,9.52464,1.0
-6.77933,9.52464,1.0
-6.57933,9.52464,1.0
-6.37933,9.52464,1.0
-6.17933,9.52464,1.0
-5.97933,9.52464,1.0
-5.77933,9.52464,1.0
-5.57933,9.52464,1.0
-5.37933,9.52464,1.0
-5.17933,9.52464,1.0
-4.97933,9.52464,1.0
-4.77933,9.52464,1.0
-4.57933,9.52464,1.0
-4.37933,9.52464,1.0
-4.17933,9.52464,1.0
-3.97933,9.52464,1.0
-3.77933,9.52464,1.0
-3.57933,9.52464,1.0
-3.37933,9.52464,1.0
-3.17933,9.52464,1.0
-2.97933,9.52464,1.0
-2.77933,9.52464,1.0
-2.57933,9.52464,1.0
-2.37933,9.52464,1.0
-2.17933,9.52464,1.0
-1.97933,9.52464,1.0
-1.77933,9.52464,1.0
-1.57933,9.52464,1.0
-1.37933,9.52464,1.0
-1.17933,9.52464,1.0
-0.979333,9.52464,1.0
-0.779333,9.52464,1.0
-0.579333,9.52464,1.0
-0.379333,9.52464,1.0
-0.179333,9.52464,1.0
0.020667,9.52464,1.0
0.220667,9.52464,1.0
0.420667,9.52464,1.0
0.620667,9.52464,1.0
0.820667,9.52464,1.0
1.02067,9.52464,1.0
1.22067,9.52464,1.0
1.42067,9.52464,1.0
1.62067,9.52464,1.0
1.82067,9.52464,1.0
2.02067,9.52464,1.0
2.22067,9.52464,1.0
2.42067,9.52464,1.0
2.62067,9.52464,1.0
2.82067,9.52464,1.0
3.02067,9.52464,1.0
3.22067,9.52464,1.0
3.42067,9.52464,1.0
3.62067,9.52464,1.0
3.82067,9.52464,1.0
4.02067,9.52464,1.0
4.22067,9.52464,1.0
4.42067,9.52464,1.0
4.62067,9.52464,1.0
4.82067,9.52464,1.0
5.02067,9.52464,1.0
5.22067,9.52464,1.0
5.42067,9.52464,1.0
5.62067,9.52464,1.0
5.82067,9.52464,1.0
6.02067,9.52464,1.0
6.22067,9.52464,1.0
6.42067,9.52464,1.0
6.62067,9.52464,1.0
6.82067,9.52464,1.0
7.02067,9.52464,1.0
7.22067,9.52464,1.0
7.42067,9.52464,1.0
7.62067,9.52464,1.0
7.82067,9.52464,1.0
8.02067,9.52464,1.0
8.22067,9.52464,1.0
8.42067,9.52464,1.0
8.62067,9.52464,1.0
8.82067,9.52464,1.0
9.02067,9.52464,1.0
9.22067,9.52464,1.0
9.42067,9.52464,1.0
9.62067,9.52464,1.0
9.82067,9.52464,1.0
10.0207,9.52464,1.0
10.2207,9.52464,1.0
10.4207,9.52464,1.0
10.6207,9.52464,1.0
10.8207,9.52464,1.0
11.0207,9.52464,1.0
11.2207,9.52464,1.0
11.4207,9.52464,1.0
11.6207,9.52464,1.0
11.8207,9.52464,1.0
12.0207,9.52464,1.0
12.2207,9.52464,1.0
12.4207,9.52464,1.0
12.6207,9.52464,1.0
12.8207,9.52464,1.0
13.0207,9.52464,1.0
13.2207,9.52464,1.0
13.4207,9.52464,1.0
13.6207,9.52464,1.0
13.8207,9.52464,1.0
14.0207,9.52464,1.0
14.2207,9.52464,1.0
14.4207,9.52464,1.0
14.6207,9.52464,1.0
14.8207,9.52464,1.0
15.0207,9.52464,1.0
15.2207,9.52464,1.0
15.4207,9.52464,1.0
15.6207,9.52464,1.0
15.8207,9.52464,1.0
16.0207,9.52464,1.0
16.2207,9.52464,1.0
16.4207,9.52464,1.0
16.6207,9.52464,1.0
16.8207,9.52464,1.0
17.0207,9.52464,1.0
17.2207,9.52464,1.0
17.4207,9.52464,1.0
17.6207,9.52464,1.0
17.8207,9.52464,1.0
18.0207,9.52464,1.0
18.2207,9.52464,1.0
18.4207,9.52464,1.0
18.6207,9.52464,1.0
18.8207,9.52464,1.0
19.0207,9.52464,1.0
-14.9793,9.72464,1.0
-14.7793,9.72464,1.0
-14.5793,9.72464,1.0
-14.3793,9.72464,1.0
-14.1793,9.72464,1.0
-13.9793,9.72464,1.0
-13.7793,9.72464,1.0
-13.5793,9.72464,1.0
-13.3793,9.72464,1.0
-13.1793,9.72464,1.0
-12.9793,9.72464,1.0
-12.7793,9.72464,1.0
-12.5793,9.72464,1.0
-12.3793,9.72464,1.0
-12.1793,9.72464,1.0
-11.9793,9.72464,1.0
-11.7793,9.72464,1.0
-11.5793,9.72464,1.0
-11.3793,9.72464,1.0
-11.1793,9.72464,1.0
-10.9793,9.72464,1.0
-10.7793,9.72464,1.0
-10.5793,9.72464,1.0
-10.3793,9.72464,1.0
-10.1793,9.72464,1.0
-9.97933,9.72464,1.0
-9.77933,9.72464,1.0
-9.57933,9.72464,1.0
-9.37933,9.72464,1.0
-9.17933,9.72464,1.0
-8.97933,9.72464,1.0
-8.77933,9.72464,1.0
-8.57933,9.72464,1.0
-8.37933,9.72464,1.0
-8.17933,9.72464,1.0
-7.97933,9.72464,1.0
-7.77933,9.72464,1.0
-7.57933,9.72464,1.0
-7.37933,9.72464,1.0
-7.17933,9.72464,1.0
-6.97933,9.72464,1.0
-6.77933,9.72464,1.0
-6.57933,9.72464,1.0
-6.37933,9.72464,1.0
-6.17933,9.72464,1.0
-5.97933,9.72464,1.0
-5.77933,9.72464,1.0
-5.57933,9.72464,1.0
-5.37933,9.72464,1.0
-5.17933,9.72464,1.0
-4.97933,9.72464,1.0
-4.77933,9.72464,1.0
-4.57933,9.72464,1.0
-4.37933,9.72464,1.0
-4.17933,9.72464,1.0
-3.97933,9.72464,1.0
-3.77933,9.72464,1.0
-3.57933,9.72464,1.0
-3.37933,9.72464,1.0
-3.17933,9.72464,1.0
-2.97933,9.72464,1.0
-2.77933,9.72464,1.0
-2.57933,9.72464,1.0
-2.37933,9.72464,1.0
-2.17933,9.72464,1.0
-1.97933,9.72464,1.0
-1.77933,9.72464,1.0
-1.57933,9.72464,1.0
-1.37933,9.72464,1.0
-1.17933,9.72464,1.0
-0.979333,9.72464,1.0
-0.779333,9.72464,1.0
-0.579333,9.72464,1.0
-0.379333,9.72464,1.0
-0.179333,9.72464,1.0
0.020667,9.72464,1.0
0.220667,9.72464,1.0
0.420667,9.72464,1.0
0.620667,9.72464,1.0
0.820667,9.72464,1.0
1.02067,9.72464,1.0
1.22067,9.72464,1.0
1.42067,9.72464,1.0
1.62067,9.72464,1.0
1.82067,9.72464,1.0
2.02067,9.72464,1.0
2.22067,9.72464,1.0
2.42067,9.72464,1.0
2.62067,9.72464,1.0
2.82067,9.72464,1.0
3.02067,9.72464,1.0
3.22067,9.72464,1.0
3.42067,9.72464,1.0
3.62067,9.72464,1.0
3.82067,9.72464,1.0
4.02067,9.72464,1.0
4.22067,9.72464,1.0
4.42067,9.72464,1.0
4.62067,9.72464,1.0
4.82067,9.72464,1.0
5.02067,9.72464,1.0
5.22067,9.72464,1.0
5.42067,9.72464,1.0
5.62067,9.72464,1.0
5.82067,9.72464,1.0
6.02067,9.72464,1.0
6.22067,9.72464,1.0
6.42067,9.72464,1.0
6.62067,9.72464,1.0
6.82067,9.72464,1.0
7.02067,9.72464,1.0
7.22067,9.72464,1.0
7.42067,9.72464,1.0
7.62067,9.72464,1.0
7.82067,9.72464,1.0
8.02067,9.72464,1.0
8.22067,9.72464,1.0
8.42067,9.72464,1.0
8.62067,9.72464,1.0
8.82067,9.72464,1.0
9.02067,9.72464,1.0
9.22067,9.72464,1.0
9.42067,9.72464,1.0
9.62067,9.72464,1.0
9.82067,9.72464,1.0
10.0207,9.72464,1.0
10.2207,9.72464,1.0
10.4207,9.72464,1.0
10.6207,9.72464,1.0
10.8207,9.72464,1.0
11.0207,9.72464,1.0
11.2207,9.72464,1.0
11.4207,9.72464,1.0
11.6207,9.72464,1.0
11.8207,9.72464,1.0
12.0207,9.72464,1.0
12.2207,9.72464,1.0
12.4207,9.72464,1.0
12.6207,9.72464,1.0
12.8207,9.72464,1.0
13.0207,9.72464,1.0
13.2207,9.72464,1.0
13.4207,9.72464,1.0
13.6207,9.72464,1.0
13.8207,9.72464,1.0
14.0207,9.72464,1.0
14.2207,9.72464,1.0
14.4207,9.72464,1.0
14.6207,9.72464,1.0
14.8207,9.72464,1.0
15.0207,9.72464,1.0
15.2207,9.72464,1.0
15.4207,9.72464,1.0
15.6207,9.72464,1.0
15.8207,9.72464,1.0
16.0207,9.72464,1.0
16.2207,9.72464,1.0
16.4207,9.72464,1.0
16.6207,9.72464,1.0
16.8207,9.72464,1.0
17.0207,9.72464,1.0
17.2207,9.72464,1.0
17.4207,9.72464,1.0
17.6207,9.72464,1.0
17.8207,9.72464,1.0
18.0207,9.72464,1.0
18.2207,9.72464,1.0
18.4207,9.72464,1.0
18.6207,9.72464,1.0
18.8207,9.72464,1.0
19.0207,9.72464,1.0
-14.9793,9.92464,1.0
-14.7793,9.92464,1.0
-14.5793,9.92464,1.0
-14.3793,9.92464,1.0
-14.1793,9.92464,1.0
-13.9793,9.92464,1.0
-13.7793,9.92464,1.0
-13.5793,9.92464,1.0
-13.3793,9.92464,1.0
-13.1793,9.92464,1.0
-12.9793,9.92464,1.0
-12.7793,9.92464,1.0
-12.5793,9.92464,1.0
-12.3793,9.92464,1.0
-12.1793,9.92464,1.0
-11.9793,9.92464,1.0
-11.7793,9.92464,1.0
-11.5793,9.92464,1.0
-11.3793,9.92464,1.0
-11.1793,9.92464,1.0
-10.9793,9.92464,1.0
-10.7793,9.92464,1.0
-10.5793,9.92464,1.0
-10.3793,9.92464,1.0
-10.1793,9.92464,1.0
-9.97933,9.92464,1.0
-9.77933,9.92464,1.0
-9.57933,9.92464,1.0
-9.37933,9.92464,1.0
-9.17933,9.92464,1.0
-8.97933,9.92464,1.0
-8.77933,9.92464,1.0
-8.57933,9.92464,1.0
-8.37933,9.92464,1.0
-8.17933,9.92464,1.0
-7.97933,9.92464,1.0
-7.77933,9.92464,1.0
-7.57933,9.92464,1.0
-7.37933,9.92464,1.0
-7.17933,9.92464,1.0
-6.97933,9.92464,1.0
-6.77933,9.92464,1.0
-6.57933,9.92464,1.0
-6.37933,9.92464,1.0
-6.17933,9.92464,1.0
-5.97933,9.92464,1.0
-5.77933,9.92464,1.0
-5.57933,9.92464,1.0
-5.37933,9.92464,1.0
-5.17933,9.92464,1.0
-4.97933,9.92464,1.0
-4.77933,9.92464,1.0
-4.57933,9.92464,1.0
-4.37933,9.92464,1.0
-4.17933,9.92464,1.0
-3.97933,9.92464,1.0
-3.77933,9.92464,1.0
-3.57933,9.92464,1.0
-3.37933,9.92464,1.0
-3.17933,9.92464,1.0
-2.97933,9.92464,1.0
-2.77933,9.92464,1.0
-2.57933,9.92464,1.0
-2.37933,9.92464,1.0
-2.17933,9.92464,1.0
-1.97933,9.92464,1.0
-1.77933,9.92464,1.0
-1.57933,9.92464,1.0
-1.37933,9.92464,1.0
-1.17933,9.92464,1.0
-0.979333,9.92464,1.0
-0.779333,9.92464,1.0
-0.579333,9.92464,1.0
-0.379333,9.92464,1.0
-0.179333,9.92464,1.0
0.020667,9.92464,1.0
0.220667,9.92464,1.0
0.420667,9.92464,1.0
0.620667,9.92464,1.0
0.820667,9.92464,1.0
1.02067,9.92464,1.0
1.22067,9.92464,1.0
1.42067,9.92464,1.0
1.62067,9.92464,1.0
1.82067,9.92464,1.0
2.02067,9.92464,1.0
2.22067,9.92464,1.0
2.42067,9.92464,1.0
2.62067,9.92464,1.0
2.82067,9.92464,1.0
3.02067,9.92464,1.0
3.22067,9.92464,1.0
3.42067,9.92464,1.0
3.62067,9.92464,1.0
3.82067,9.92464,1.0
4.02067,9.92464,1.0
4.22067,9.92464,1.0
4.42067,9.92464,1.0
4.62067,9.92464,1.0
4.82067,9.92464,1.0
5.02067,9.92464,1.0
5.22067,9.92464,1.0
5.42067,9.92464,1.0
5.62067,9.92464,1.0
5.82067,9.92464,1.0
6.02067,9.92464,1.0
6.22067,9.92464,1.0
6.42067,9.92464,1.0
6.62067,9.92464,1.0
6.82067,9.92464,1.0
7.02067,9.92464,1.0
7.22067,9.92464,1.0
7.42067,9.92464,1.0
7.62067,9.92464,1.0
7.82067,9.92464,1.0
8.02067,9.92464,1.0
8.22067,9.92464,1.0
8.42067,9.92464,1.0
8.62067,9.92464,1.0
8.82067,9.92464,1.0
9.02067,9.92464,1.0
9.22067,9.92464,1.0
9.42067,9.92464,1.0
9.62067,9.92464,1.0
9.82067,9.92464,1.0
10.0207,9.92464,1.0
10.2207,9.92464,1.0
10.4207,9.92464,1.0
10.6207,9.92464,1.0
10.8207,9.92464,1.0
11.0207,9.92464,1.0
11.2207,9.92464,1.0
11.4207,9.92464,1.0
11.6207,9.92464,1.0
11.8207,9.92464,1.0
12.0207,9.92464,1.0
12.2207,9.92464,1.0
12.4207,9.92464,1.0
12.6207,9.92464,1.0
12.8207,9.92464,1.0
13.0207,9.92464,1.0
13.2207,9.92464,1.0
13.4207,9.92464,1.0
13.6207,9.92464,1.0
13.8207,9.92464,1.0
14.0207,9.92464,1.0
14.2207,9.92464,1.0
14.4207,9.92464,1.0
14.6207,9.92464,1.0
14.8207,9.92464,1.0
15.0207,9.92464,1.0
15.2207,9.92464,1.0
15.4207,9.92464,1.0
15.6207,9.92464,1.0
15.8207,9.92464,1.0
16.0207,9.92464,1.0
16.2207,9.92464,1.0
16.4207,9.92464,1.0
16.6207,9.92464,1.0
16.8207,9.92464,1.0
17.0207,9.92464,1.0
17.2207,9.92464,1.0
17.4207,9.92464,1.0
17.6207,9.92464,1.0
17.8207,9.92464,1.0
18.0207,9.92464,1.0
18.2207,9.92464,1.0
18.4207,9.92464,1.0
18.6207,9.92464,1.0
18.8207,9.92464,1.0
19.0207,9.92464,1.0
-14.9793,10.1246,1.0
-14.7793,10.1246,1.0
-14.5793,10.1246,1.0
-14.3793,10.1246,1.0
-14.1793,10.1246,1.0
-13.9793,10.1246,1.0
-13.7793,10.1246,1.0
-13.5793,10.1246,1.0
-13.3793,10.1246,1.0
-13.1793,10.1246,1.0
-12.9793,10.1246,1.0
-12.7793,10.1246,1.0
-12.5793,10.1246,1.0
-12.3793,10.1246,1.0
-12.1793,10.1246,1.0
-11.9793,10.1246,1.0
-11.7793,10.1246,1.0
-11.5793,10.1246,1.0
-11.3793,10.1246,1.0
-11.1793,10.1246,1.0
-10.9793,10.1246,1.0
-10.7793,10.1246,1.0
-10.5793,10.1246,1.0
-10.3793,10.1246,1.0
-10.1793,10.1246,1.0
-9.97933,10.1246,1.0
-9.77933,10.1246,1.0
-9.57933,10.1246,1.0
-9.37933,10.1246,1.0
-9.17933,10.1246,1.0
-8.97933,10.1246,1.0
-8.77933,10.1246,1.0
-8.57933,10.1246,1.0
-8.37933,10.1246,1.0
-8.17933,10.1246,1.0
-7.97933,10.1246,1.0
-7.77933,10.1246,1.0
-7.57933,10.1246,1.0
-7.37933,10.1246,1.0
-7.17933,10.1246,1.0
-6.97933,10.1246,1.0
-6.77933,10.1246,1.0
-6.57933,10.1246,1.0
-6.37933,10.1246,1.0
-6.17933,10.1246,1.0
-5.97933,10.1246,1.0
-5.77933,10.1246,1.0
-5.57933,10.1246,1.0
-5.37933,10.1246,1.0
-5.17933,10.1246,1.0
-4.97933,10.1246,1.0
-4.77933,10.1246,1.0
-4.57933,10.1246,1.0
-4.37933,10.1246,1.0
-4.17933,10.1246,1.0
-3.97933,10.1246,1.0
-3.77933,10.1246,1.0
-3.57933,10.1246,1.0
-3.37933,10.1246,1.0
-3.17933,10.1246,1.0
-2.97933,10.1246,1.0
-2.77933,10.1246,1.0
-2.57933,10.1246,1.0
-2.37933,10.1246,1.0
-2.17933,10.1246,1.0
-1.97933,10.1246,1.0
-1.77933,10.1246,1.0
-1.57933,10.1246,1.0
-1.37933,10.1246,1.0
-1.17933,10.1246,1.0
-0.979333,10.1246,1.0
-0.779333,10.1246,1.0
-0.579333,10.1246,1.0
-0.379333,10.1246,1.0
-0.179333,10.1246,1.0
0.020667,10.1246,1.0
0.220667,10.1246,1.0
0.420667,10.1246,1.0
0.620667,10.1246,1.0
0.820667,10.1246,1.0
1.02067,10.1246,1.0
1.22067,10.1246,1.0
1.42067,10.1246,1.0
1.62067,10.1246,1.0
1.82067,10.1246,1.0
2.02067,10.1246,1.0
2.22067,10.1246,1.0
2.42067,10.1246,1.0
2.62067,10.1246,1.0
2.82067,10.1246,1.0
3.02067,10.1246,1.0
3.22067,10.1246,1.0
3.42067,10.1246,1.0
3.62067,10.1246,1.0
3.82067,10.1246,1.0
4.02067,10.1246,1.0
4.22067,10.1246,1.0
4.42067,10.1246,1.0
4.62067,10.1246,1.0
4.82067,10.1246,1.0
5.02067,10.1246,1.0
5.22067,10.1246,1.0
5.42067,10.1246,1.0
5.62067,10.1246,1.0
5.82067,10.1246,1.0
6.02067,10.1246,1.0
6.22067,10.1246,1.0
6.42067,10.1246,1.0
6.62067,10.1246,1.0
6.82067,10.1246,1.0
7.02067,10.1246,1.0
7.22067,10.1246,1.0
7.42067,10.1246,1.0
7.62067,10.1246,1.0
7.82067,10.1246,1.0
8.02067,10.1246,1.0
8.22067,10.1246,1.0
8.42067,10.1246,1.0
8.62067,10.1246,1.0
8.82067,10.1246,1.0
9.02067,10.1246,1.0
9.22067,10.1246,1.0
9.42067,10.1246,1.0
9.62067,10.1246,1.0
9.82067,10.1246,1.0
10.0207,10.1246,1.0
10.2207,10.1246,1.0
10.4207,10.1246,1.0
10.6207,10.1246,1.0
10.8207,10.1246,1.0
11.0207,10.1246,1.0
11.2207,10.1246,1.0
11.4207,10.1246,1.0
11.6207,10.1246,1.0
11.8207,10.1246,1.0
12.0207,10.1246,1.0
12.2207,10.1246,1.0
12.4207,10.1246,1.0
12.6207,10.1246,1.0
12.8207,10.1246,1.0
13.0207,10.1246,1.0
13.2207,10.1246,1.0
13.4207,10.1246,1.0
13.6207,10.1246,1.0
13.8207,10.1246,1.0
14.0207,10.1246,1.0
14.2207,10.1246,1.0
14.4207,10.1246,1.0
14.6207,10.1246,1.0
14.8207,10.1246,1.0
15.0207,10.1246,1.0
15.2207,10.1246,1.0
15.4207,10.1246,1.0
15.6207,10.1246,1.0
15.8207,10.1246,1.0
16.0207,10.1246,1.0
16.2207,10.1246,1.0
16.4207,10.1246,1.0
16.6207,10.1246,1.0
16.8207,10.1246,1.0
17.0207,10.1246,1.0
17.2207,10.1246,1.0
17.4207,10.1246,1.0
17.6207,10.1246,1.0
17.8207,10.1246,1.0
18.0207,10.1246,1.0
18.2207,10.1246,1.0
18.4207,10.1246,1.0
18.6207,10.1246,1.0
18.8207,10.1246,1.0
19.0207,10.1246,1.0
-14.9793,10.3246,1.0
-14.7793,10.3246,1.0
-14.5793,10.3246,1.0
-14.3793,10.3246,1.0
-14.1793,10.3246,1.0
-13.9793,10.3246,1.0
-13.7793,10.3246,1.0
-13.5793,10.3246,1.0
-13.3793,10.3246,1.0
-13.1793,10.3246,1.0
-12.9793,10.3246,1.0
-12.7793,10.3246,1.0
-12.5793,10.3246,1.0
-12.3793,10.3246,1.0
-12.1793,10.3246,1.0
-11.9793,10.3246,1.0
-11.7793,10.3246,1.0
-11.5793,10.3246,1.0
-11.3793,10.3246,1.0
-11.1793,10.3246,1.0
-10.9793,10.3246,1.0
-10.7793,10.3246,1.0
-10.5793,10.3246,1.0
-10.3793,10.3246,1.0
-10.1793,10.3246,1.0
-9.97933,10.3246,1.0
-9.77933,10.3246,1.0
-9.57933,10.3246,1.0
-9.37933,10.3246,1.0
-9.17933,10.3246,1.0
-8.97933,10.3246,1.0
-8.77933,10.3246,1.0
-8.57933,10.3246,1.0
-8.37933,10.3246,1.0
-8.17933,10.3246,1.0
-7.97933,10.3246,1.0
-7.77933,10.3246,1.0
-7.57933,10.3246,1.0
-7.37933,10.3246,1.0
-7.17933,10.3246,1.0
-6.97933,10.3246,1.0
-6.77933,10.3246,1.0
-6.57933,10.3246,1.0
-6.37933,10.3246,1.0
-6.17933,10.3246,1.0
-5.97933,10.3246,1.0
-5.77933,10.3246,1.0
-5.57933,10.3246,1.0
-5.37933,10.3246,1.0
-5.17933,10.3246,1.0
-4.97933,10.3246,1.0
-4.77933,10.3246,1.0
-4.57933,10.3246,1.0
-4.37933,10.3246,1.0
-4.17933,10.3246,1.0
-3.97933,10.3246,1.0
-3.77933,10.3246,1.0
-3.57933,10.3246,1.0
-3.37933,10.3246,1.0
-3.17933,10.3246,1.0
-2.97933,10.3246,1.0
-2.77933,10.3246,1.0
-2.57933,10.3246,1.0
-2.37933,10.3246,1.0
-2.17933,10.3246,1.0
-1.97933,10.3246,1.0
-1.77933,10.3246,1.0
-1.57933,10.3246,1.0
-1.37933,10.3246,1.0
-1.17933,10.3246,1.0
-0.979333,10.3246,1.0
-0.779333,10.3246,1.0
